symbol,unlock_date,category,unlock_amount,total_supply,unlock_pct_supply,open_price,avg_daily_volume_usd,pre7_return,pre_return_-7,pre_return_-6,pre_return_-5,pre_return_-4,pre_return_-3,pre_return_-2,pre_return_-1,return_0,btc_return_0,excess_return_0,return_1,btc_return_1,excess_return_1,return_2,btc_return_2,excess_return_2,return_3,btc_return_3,excess_return_3,return_4,btc_return_4,excess_return_4,return_5,btc_return_5,excess_return_5,return_6,btc_return_6,excess_return_6,return_7,btc_return_7,excess_return_7,return_8,btc_return_8,excess_return_8,return_9,btc_return_9,excess_return_9,return_10,btc_return_10,excess_return_10,return_11,btc_return_11,excess_return_11,return_12,btc_return_12,excess_return_12,return_13,btc_return_13,excess_return_13,return_14,btc_return_14,excess_return_14
AVAX,2024-01-01,VC,9500000,720000000,1.3194,38.57,161767336.0,-0.191485,0.010487,-0.068582,-0.110948,-0.165268,-0.157299,-0.175126,-0.191485,0.087374,0.0034,0.083973,0.052891,0.048392,0.004499,-0.045891,0.066602,-0.112492,0.003889,0.016728,-0.012839,-0.054706,0.047717,-0.102423,-0.10267,0.047575,-0.150245,-0.12782,0.04338,-0.171199,-0.064558,0.042447,-0.107005,-0.101633,0.11416,-0.215794,-0.001037,0.094202,-0.095239,0.018667,0.107111,-0.088444,-0.068447,0.09964,-0.168087,,0.015245,,,0.016794,,,-0.009681,
SEI,2024-08-15,VC,900000000,10000000000,9.0,0.2822,22562363.0,0.196694,0.235693,0.226367,0.266214,0.136499,0.291225,0.247139,0.196694,-0.024805,-0.031422,0.006617,-0.053508,-0.050276,-0.003232,-0.042169,-0.028266,-0.013903,-0.05528,-0.018076,-0.037204,-0.054217,-0.035648,-0.018569,-0.061658,-0.018959,-0.0427,-0.007796,-0.025969,0.018173,0.008859,0.009389,-0.00053,0.167257,-0.003488,0.170745,0.232814,0.056944,0.17587,0.243799,0.058921,0.184878,0.181077,0.059961,0.121117,,0.037084,,,-0.019347,,,-0.02562,
TIA,2024-10-30,VC,175586000,1000000000,17.5586,5.277,51467344.0,-0.088616,0.031957,0.059769,-0.084643,-0.06806,-0.114009,-0.121092,-0.088616,-0.097214,0.039653,-0.136867,-0.077696,0.034055,-0.11175,-0.137389,0.004714,-0.142103,-0.112943,-0.006664,-0.106279,-0.136631,-0.008397,-0.128234,-0.199924,-0.016955,-0.182969,-0.199166,-0.030191,-0.168976,-0.030699,-0.008436,-0.022263,-0.028804,0.080183,-0.108987,0.025014,0.084269,-0.059255,0.047565,0.093587,-0.046022,0.057229,0.095984,-0.038754,,0.148763,,,0.267084,,,0.257136,
ALT,2024-03-25,VC,518400000,10000000000,5.184,0.50072,69330523.0,-0.085149,-0.123638,-0.177882,-0.139868,-0.05768,-0.107994,-0.087287,-0.085149,0.189966,0.05032,0.139647,0.273167,0.092045,0.181121,0.210537,0.093733,0.116804,0.328966,0.085638,0.243328,0.211056,0.106119,0.104937,0.199073,0.091585,0.107488,0.227512,0.087391,0.140121,0.141896,0.113924,0.027972,0.061611,0.088448,-0.026837,0.068242,0.023034,0.045207,0.070299,0.030837,0.039462,0.039483,0.070289,-0.030805,,0.059862,,,0.076668,,,0.083925,
WLD,2024-03-24,OTC,101695000,10000000000,1.017,8.454,128775630.0,0.001896,0.13214,0.039109,-0.111164,-0.010073,-0.045508,-0.052619,0.001896,0.000828,0.003031,-0.002203,0.024131,0.053504,-0.029373,0.034303,0.095356,-0.061052,-0.003549,0.097048,-0.100597,-0.00485,0.088929,-0.093778,-0.009818,0.109472,-0.11929,-0.040336,0.094894,-0.13523,-0.028034,0.090687,-0.118721,-0.093329,0.1173,-0.210629,-0.191152,0.091747,-0.282899,-0.202271,0.026135,-0.228407,-0.187367,0.033962,-0.221329,,0.073533,,,0.063075,,,0.079931,
WLD,2024-07-24,OTC,101695000,10000000000,1.017,2.178,74311975.0,-0.227386,0.045406,-0.059596,-0.018092,-0.062433,-0.087265,-0.19475,-0.227386,0.013774,-0.023633,0.037407,-0.028466,-0.031926,0.003459,0.084022,-0.025648,0.10967,0.06933,0.005568,0.063762,0.077594,0.005397,0.072197,0.047291,0.01063,0.036661,0.006887,-0.011066,0.017953,-0.033517,-0.019902,-0.013615,-0.044995,-0.043002,-0.001994,-0.129017,-0.032251,-0.096766,-0.199725,-0.089345,-0.110379,-0.247016,-0.101197,-0.145819,,-0.138764,,,-0.200101,,,-0.170438,
DYDX,2024-02-03,VC,150000000,1000000000,15.0,2.832,20945939.0,0.056343,0.018284,-0.002985,0.031716,0.040672,-0.018284,-0.006343,0.056343,-0.054025,0.002717,-0.056742,-0.074506,-0.001668,-0.072838,-0.032486,-0.011607,-0.020879,-0.014124,-0.008687,-0.005438,0.010946,0.000371,0.010575,-0.012359,0.0294,-0.041759,0.058263,0.051197,0.007066,0.038489,0.094001,-0.055512,0.017655,0.108352,-0.090697,0.07274,0.121093,-0.048353,0.101695,0.158632,-0.056937,0.115819,0.153579,-0.03776,,0.20222,,,0.204189,,,0.209855,
DYDX,2024-06-01,VC,150000000,1000000000,15.0,2.0,13393479.0,-0.00448,0.038825,0.009955,0.030363,0.036834,0.00896,-0.005475,-0.00448,0.0205,-0.011882,0.032382,-0.0005,-0.008563,0.008063,-0.0075,-0.008581,0.001081,0.0365,0.006697,0.029803,0.042,0.031977,0.010023,0.086,0.040318,0.045682,-0.0455,0.035798,-0.081298,-0.075,0.01468,-0.08968,-0.043,0.01402,-0.05702,-0.0805,0.01896,-0.09946,-0.1645,0.017378,-0.181878,-0.125,-0.015185,-0.109815,,-0.00129,,,-0.023103,,,-0.033769,
BLUR,2024-02-14,VC,300000000,3000000000,10.0,0.692,30317030.0,0.192248,0.04255,0.071318,0.101981,0.074419,0.062188,0.103876,0.192248,0.078613,-0.004361,0.082974,0.061272,0.03762,0.023652,0.034827,0.039319,-0.004493,0.026445,0.04421,-0.017765,0.141474,0.034564,0.10691,0.129913,0.044481,0.085432,0.099422,0.037211,0.062211,0.029624,0.046908,-0.017284,-0.005491,0.038706,-0.044198,-0.04263,0.027468,-0.070098,0.164884,0.016565,0.14832,0.092341,0.033074,0.059268,,0.036291,,,0.091335,,,0.142637,
UNI,2024-04-17,VC,43000000,1000000000,4.3,7.182,43928297.0,-0.358698,-0.103747,-0.184746,-0.29331,-0.383586,-0.328903,-0.353524,-0.358698,-0.040796,0.005888,-0.046684,0.015873,-0.033785,0.049658,0.043024,0.00079,0.042234,0.096213,0.006276,0.089937,0.076441,0.023977,0.052464,0.141743,0.023985,0.117758,0.106656,0.0536,0.053055,0.074909,0.047209,0.0277,0.104149,0.013712,0.090437,0.072542,0.017003,0.055539,0.110136,0.005519,0.104617,0.089529,0.000662,0.088867,,-0.004752,,,0.007033,,,-0.04333,
