symbol,unlock_date,category,unlock_pct_supply,day_offset,date,open,close,volume,quote_volume
OP,2024-01-31,VC,0.5625,4,2024-02-04,2.96,2.994,7743935.69,23162015.54151
OP,2024-01-31,VC,0.5625,5,2024-02-05,2.993,3.097,12259252.97,37425483.80715
OP,2024-01-31,VC,0.5625,6,2024-02-06,3.097,3.325,34804738.06,112591473.48219
OP,2024-01-31,VC,0.5625,7,2024-02-07,3.325,3.363,25924719.16,86292128.31774
SUI,2024-05-03,VC,0.6436,-7,2024-04-26,1.2242,1.1737,26300032.8,31275511.646
SUI,2024-05-03,VC,0.6436,-6,2024-04-27,1.1744,1.2111,28262859.8,33513436.01088
SUI,2024-05-03,VC,0.6436,-5,2024-04-28,1.2112,1.2177,16291420.1,20216477.95799
SUI,2024-05-03,VC,0.6436,-4,2024-04-29,1.217,1.1921,23444592.6,27997569.13682
SUI,2024-05-03,VC,0.6436,-3,2024-04-30,1.1922,1.1438,51828918.4,58663015.3721
SUI,2024-05-03,VC,0.6436,-2,2024-05-01,1.1434,1.1474,47808647.3,53265204.57223
SUI,2024-05-03,VC,0.6436,-1,2024-05-02,1.1474,1.1212,25852856.6,29214004.74788
SUI,2024-05-03,VC,0.6436,0,2024-05-03,1.121,1.1119,50935228.5,56411826.45786
SUI,2024-05-03,VC,0.6436,1,2024-05-04,1.1116,1.091,69997409.6,76658369.61787
SUI,2024-05-03,VC,0.6436,2,2024-05-05,1.091,1.0954,45275978.2,49292188.71041
SUI,2024-05-03,VC,0.6436,3,2024-05-06,1.0956,1.0932,66082235.6,73811167.8549
SUI,2024-05-03,VC,0.6436,4,2024-05-07,1.0933,1.0797,53295683.6,59290553.61019
SUI,2024-05-03,VC,0.6436,5,2024-05-08,1.0796,1.0105,38955874.9,40945620.51747
SUI,2024-05-03,VC,0.6436,6,2024-05-09,1.0104,1.0262,46259992.3,46362917.48722
SUI,2024-05-03,VC,0.6436,7,2024-05-10,1.0262,1.0076,66435807.9,69970018.75565
PYTH,2024-05-20,OTC,25.0,-7,2024-05-13,0.4392,0.422,34859035.6,14915912.2429
PYTH,2024-05-20,OTC,25.0,-6,2024-05-14,0.4221,0.3997,23906521.4,9872182.47526
PYTH,2024-05-20,OTC,25.0,-5,2024-05-15,0.3997,0.4488,36270188.5,15541099.59083
PYTH,2024-05-20,OTC,25.0,-4,2024-05-16,0.4489,0.4249,32666124.1,14177757.90869
